nro;nombre_archivo;id_revista;revista;pais;macroarea;metodologia;titulo;anio;autores;doi;url_fulltext;disciplina;objetivo_general;frase_inferencia;frase_muestreo;tipo_estudio;enfoque_metodologico;diseno_estudio;tamano_muestra;es_cuantitativo_con_inferencia;muestreo_probabilistico;muestreo_no_probabilistico;declara_tipo_muestreo;declara_calculo_tamano_muestral;reporta_intervalos_confianza;extrapola_a_poblacion;advierte_limites_muestreo;aplica_muestreo_inferencial;clasificacion_inferencial;motivo_principal;nivel_confianza_clasificacion;incumple_inferencia;software_estadistico;comentario_metodologico;area;macroarea_final;origen;estado;ruta_pdf_ref;clasificacion_original;clasificacion_recheck;clasificacion_final;aplicable_final;_reconfirmado
1;00062_Acta_Scientiarum_Animal_Scienc_2025.pdf;3.0;Acta Scientiarum: Animal Sciences;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;Assessment of the effects of the BARF diet on the health of dogs;2025.0;"Maciej  Bąkowski; Aleksandra Garbiec; Magda  Miklaszewska";10.4025/actascianimsci.v47i1.65849;https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/article/view/65849;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00062_Acta_Scientiarum_Animal_Scienc_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
2;00065_Acta_Scientiarum_Animal_Scienc_2024.pdf;3.0;Acta Scientiarum: Animal Sciences;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;The current state of the saiga (Saiga tatarica L.) population in Betpak-Dala (Kazakhstan);2024.0;"Amanay Myrzabayev; Zhanbolat Ibraibekov; Marat Bodeev; Valery Britko; Kymbat Yelshina; Zhansaya Tilla; Konstantin Gongalsky";10.4025/actascianimsci.v46i1.69380;https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/article/view/69380;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00065_Acta_Scientiarum_Animal_Scienc_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
3;00067_Acta_Scientiarum_Animal_Scienc_2023.pdf;3.0;Acta Scientiarum: Animal Sciences;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;Fatty acid profile, omegas and lipid quality in commercial cuts of pirarucu (Arapaima gigas Schinz, 1822) cultivated in excavated tanks;2023.0;"Jucilene Cavali; Jerônimo Vieira  Dantas Filho; Carla Taveira  Nunes; Elvino  Ferreira; Rute Bianchini  Pontuschka; Renato  Zanella; Maria Luiza Rodrigues de  Souza";10.4025/actascianimsci.v45i1.61186;https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/article/view/61186;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00067_Acta_Scientiarum_Animal_Scienc_2023.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
4;00068_Acta_Scientiarum_Animal_Scienc_2023.pdf;3.0;Acta Scientiarum: Animal Sciences;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;Microbiological diagnosis and antimicrobial resistance profile of bovine mastitis causing agents in the municipality of Placas, Pará, Brazil;2023.0;"Raimundo Nonato Colares  Camargo Junior; Lenoir Loeblein  Silva ; Igor Felipe da Silva  Coimbra ; Welligton Conceição da  Silva ; Cláudio Vieira de  Araújo; Hipócrates de Menezes  Chalkidis; Simone Vieira  Castro ";10.4025/actascianimsci.v46i1.65360;https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/article/view/65360;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00068_Acta_Scientiarum_Animal_Scienc_2023.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
5;00070_Acta_Scientiarum_Animal_Scienc_2021.pdf;3.0;Acta Scientiarum: Animal Sciences;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;Pantanal’s fish native meatballs has the nutritional values increased with the use of pequi in its recipe;2021.0;"Queila Dias  Pereira; Angela  Kwiatkowski; Cláudia Leite  Munhoz; Ricardo Santos  Porto; Celso Soares  Costa; Lucimar Rodrigues Vieira  Curvo; Odair  Diemer";10.4025/actascianimsci.v44i1.53516;https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/article/view/53516;;;;;;;;;;;SÃ­;;;;SÃ­;No;SÃ­;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00070_Acta_Scientiarum_Animal_Scienc_2021.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
6;00117_Avaliação_Revista_da_Avaliação_2025.pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;THE RELATIONSHIP BETWEEN ANXIETY AND PERSONALITY TRAITS IN UNIVERSITY STUDENTS;2025.0;"Luan Vinicius Bernardelli; Camila Pereira; Paulo Rogério Alves Brene; Ronaldo Raemy Rangel";10.1590/198257652025v30id29023929;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772025000100328&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00117_Avaliação_Revista_da_Avaliação_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
7;00120_Avaliação_Revista_da_Avaliação_2024.pdf;16.0;Avaliação: Revista da Avaliação da Educação Superior;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;Academic experiences: adaptation of Civil Engineering students;2024.0;"Rogério de Oliveira Rodrigues; Edgar Bendahan Rodrigues; Renata Trasse de Oliveira Barbosa";10.1590/1982-57652024v29id28235021;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772024000100320&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00120_Avaliação_Revista_da_Avaliação_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
8;00167_Design_e_Tecnologia_2018.pdf;24.0;Design e Tecnologia;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;O Ensino e a aprendizagem de semiótica em um curso de design: uma instalação problematizando pessoas em situação de rua;2018.0;Cayley Guimarães;10.23972/det2018iss16pp11-28;https://www.ufrgs.br/det/index.php/det/article/view/474;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00167_Design_e_Tecnologia_2018.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
9;00198_Educação_2022.pdf;28.0;Educação;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;Inteligencia emocional autopercibida y desempeño académico en educación física de adolescentes en la escuela de aplicación de universidad de Sao Paulo, Brasil = Inteligência emocional percebida e desempenho acadêmico em educação física de adolescentes da escola de aplicação da universidade de São Paulo, Brasil = Self-perceived emotional intelligence and academic performance in physical education of adolescents at the school of application of the university of São Paulo, Brazil;2022.0;García Herrero, Juan Antonio;;https://revistaseletronicas.pucrs.br/index.php/faced/article/view/39449/27576;;;;;;;;;;;Sí;;;;No;No;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00198_Educação_2022.pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
10;00210_Educação_e_Pesquisa_2020.pdf;30.0;Educação e Pesquisa;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;La representación del cambio climático en la universidad: valoraciones y creencias del alumnado;2020.0;"Antonio García-Vinuesa; Pablo Ángel Meira Cartea; José Antonio Caride Gómez; María Lucía Iglesias da Cunha";10.1590/s1678-4634202046229768;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022020000100673&tlng=es;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00210_Educação_e_Pesquisa_2020.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
