id_muestra;macroarea;metodologia;pais;titulo;issn_impreso;issn_electronico;editor;idiomas;areas_tematicas;url_revista;url_doaj;proceso_revision;tiene_apc;articulos_a_revisar
1;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;#Tear: Revista de Educação, Ciência e Tecnologia;;2238-8079;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS);Portuguese;Education: Education (General);https://periodicos.ifrs.edu.br/index.php/tear/index;https://doaj.org/toc/a97851ba219742f586eec9c9b767ad58;Double anonymous peer review;No;10
2;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Acta Iguazu;;2316-4093;Universidade Estadual do Oeste do Paraná;English, Portuguese;Agriculture | Technology: Environmental technology. Sanitary engineering | Technology: Engineering (General). Civil engineering (General): Environmental engineering;http://e-revista.unioeste.br/index.php/actaiguazu;https://doaj.org/toc/cebd3a83682f4591accd71b986ec6f6f;Anonymous peer review;No;10
3;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Acta Scientiarum: Animal Sciences;1806-2636;1807-8672;Editora da Universidade Estadual de Maringá (Eduem);English;Agriculture: Animal culture;https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/index;https://doaj.org/toc/211bce60933f45ea805cf4bed0ab36fc;Anonymous peer review;No;10
4;Ciencias Agrarias y Ambientales;Experimental + Estadística;Uruguay;Agrociencia Uruguay;;2730-5066;Universidad de la República, Facultad de Agronomía;Spanish, English, Portuguese;Agriculture;https://agrocienciauruguay.uy/;https://doaj.org/toc/1d14fe10876a4da2b6ff1a4a8eef7ebc;Double anonymous peer review;No;10
5;Ciencias Agrarias y Ambientales;Inferencia Estadística;Chile;Akadèmeia;0717-9936;0718-9397;Universidad Gabriela Mistral (UGM);Spanish, English;Philosophy. Psychology. Religion: Psychology | Philosophy. Psychology. Religion: Philosophy (General);https://revistas.ugm.cl/index.php/rakad/index;https://doaj.org/toc/03f4b36d0e024e66b0e92843dcc070c8;Double anonymous peer review;No;10
6;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Aleph;;1807-6211;Universidade Federal Fluminense-UFF;Portuguese, Spanish, English;Education: Education (General) | Education: Special aspects of education;https://periodicos.uff.br/revistaleph;https://doaj.org/toc/d863e292cdb54c0d9bfe0dfa22c8db98;Double anonymous peer review;No;10
7;Ciencias Agrarias y Ambientales;Inferencia Estadística;Argentina;Andes;;1668-8090;Universidad Nacional de Salta, Facultad de Humanidades, Centro Promocional de las Investigaciones en Historia y Antropología;Spanish;Geography. Anthropology. Recreation: Anthropology;https://portalderevistas.unsa.edu.ar/index.php/Andes/index;https://doaj.org/toc/fc9a452fe8d84672bd5ba23c1c243b1c;Double anonymous peer review;No;10
8;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Anuário do Instituto de Geociências;0101-9759;1982-3908;Universidade Federal do Rio de Janeiro;English;Geography. Anthropology. Recreation: Physical geography | Geography. Anthropology. Recreation: Geography (General);https://revistas.ufrj.br/index.php/aigeo;https://doaj.org/toc/89f64fbd69e849b392935b2d6fe45843;Double anonymous peer review;No;10
9;Ciencias Agrarias y Ambientales;Inferencia Estadística;Peru;Areté;1016-913X;2223-3741;Pontificia Universidad Católica del Perú;Spanish;Philosophy. Psychology. Religion: Philosophy (General);http://revistas.pucp.edu.pe/index.php/arete;https://doaj.org/toc/0e213d0de5df478494c6cf14deded114;Double anonymous peer review;No;10
10;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Argumentos;1984-4247;1984-4255;Universidade Federal do Ceará;Portuguese;Philosophy. Psychology. Religion: Philosophy (General);http://periodicos.ufc.br/argumentos/;https://doaj.org/toc/6df5042b79b14fc08a80c03187733b05;Anonymous peer review;No;10
